Haarlem	 9 338,28	 16 158	 8 340,83	 16 103	 8 839,555
Haarlemmermeer	 3 822,63	 16 712	 4 444,72	 16 435	 4 133,675
Halderberge	 1 954,50	 2 662	 1 833,32	 2 641	 1 893,910
Hardenberg	 2 200,49	 6 569	 2 480,15	 6 508	 2 340,320
Harderwijk	 3 392,55	 5 473	 3 401,51	 5 430	 3 397,030
Hardinxveld-Giessendam	  269,46	 2 109	  326,29	 2 099	  297,875
Harlingen	  638,09	 1 541	  639,97	 1 476	  639,030
Hattem	  189,05	 1 331	  198,71	 1 323	  193,880
Heemskerk	 3 012,61	 3 768	 2 916,63	 3 727	 2 964,620
Heemstede	  0,00	 2 928	  0,00	 2 949	  0,000
Heerde	  481,31	 1 849	  548,44	 1 824	  514,875
Heerenveen	 1 452,34	 5 090	 1 559,99	 5 046	 1 506,165
Heerhugowaard	 2 863,07	 6 351	 3 053,12	 6 308	 2 958,095
Heerlen	 8 286,02	 6 571	 8 361,97	 6 611	 8 323,995
Heeze-Leende	  0,00	 1 367	  0,00	 1 366	  0,000
Heiloo	  0,00	 2 048	  0,00	 2 122	  0,000
Hellendoorn	  443,82	 3 509	  390,41	 3 452	  417,115
Hellevoetsluis	 1 962,72	 3 797	 2 216,68	 3 726	 2 089,700
Helmond	 8 589,74	 9 641	 8 485,40	 9 493	 8 537,570
Hendrik-Ido-Ambacht	  643,89	 3 780	  725,00	 3 969	  684,445
Hengelo	 4 571,59	 7 809	 4 455,09	 7 515	 4 513,340
's-Hertogenbosch	 8 247,21	 15 255	 8 033,01	 14 990	 8 140,110
Het Hogeland	 1 181,21	 4 494	 1 103,52	 4 381	 1 142,365
Heumen	  0,00	 1 503	  9,09	 1 471	  4,545
Heusden	 1 189,35	 4 274	 1 104,78	 4 289	 1 147,065
Hillegom	  540,71	 1 918	  556,25	 1 914	  548,480
Hilvarenbeek	  65,05	 1 457	  134,21	 1 389	  99,630
Hilversum	 4 228,38	 9 198	 4 237,27	 9 366	 4 232,825
Hoeksche Waard	 1 029,47	 8 356	 1 274,19	 8 383	 1 151,830
Hof van Twente	  461,92	 3 221	  498,80	 3 160	  480,360
Hollands Kroon	 1 587,33	 4 553	 1 686,65	 4 490	 1 636,990
Hoogeveen	 3 718,96	 6 000	 3 410,77	 5 937	 3 564,865
Hoorn	 4 518,63	 7 619	 4 702,56	 7 573	 4 610,595
Horst aan de Maas	  618,34	 3 778	  611,04	 3 663	  614,690
Houten	  0,00	 6 040	  149,40	 5 884	  74,700
Huizen	 1 081,02	 3 707	 1 177,55	 3 665	 1 129,285
Hulst	  737,96	 1 940	  826,49	 1 924	  782,225
IJsselstein	  922,90	 3 629	  992,66	 3 490	  957,780
Kaag en Braassem	  379,23	 2 640	  480,57	 2 595	  429,900
